model,label_fraction,seed,accuracy,f1_macro,recall_macro,train_accuracy,train_f1_macro,train_recall_macro,generalization_gap,train_time_s,error
SupervisedBaseline_GMM,0.05,0,0.7053901058331282,0.7078543449614217,0.7444874106371325,0.7122362869198312,0.7160024589264703,0.7512204527183381,0.006846181086702985,0.29779272000450874,
SupervisedBaseline_GMM,0.05,1,0.8850603002707359,0.8924601565783146,0.8920526943958139,0.8748945147679325,0.8808171074701999,0.8783964640584448,-0.010165785502803448,0.29474148499866715,
SupervisedBaseline_GMM,0.05,2,0.7772581836081713,0.7745355792500487,0.7777275058010328,0.770042194092827,0.764399023093736,0.7680852192769116,-0.007215989515344301,0.22567839899420505,
SupervisedBaseline_GMM,0.05,3,0.672163426039872,0.597526073048468,0.6847821649118225,0.6716244725738396,0.5979495637365769,0.6834682937177649,-0.000538953466032388,0.3182729160034796,
SupervisedBaseline_GMM,0.05,4,0.856509968003938,0.8669147895634589,0.8663520019380978,0.8645569620253165,0.8751079959648024,0.8755866781148639,0.00804699402137854,0.2820548570016399,
SupervisedBaseline_GMM,0.1,0,0.8429731725326114,0.881712522954902,0.8892747743518113,0.8345991561181435,0.8753399244331785,0.8821216520908505,-0.008374016414467889,0.291170937998686,
SupervisedBaseline_GMM,0.1,1,0.8557715973418656,0.8729607872193851,0.8751945163150386,0.8433544303797469,0.8644942419060693,0.8673712214798847,-0.012417166962118698,0.28059456000482896,
SupervisedBaseline_GMM,0.1,2,0.8269751415210436,0.825397561197301,0.8358606628017722,0.8207805907172996,0.8164368565102593,0.8279334313110153,-0.006194550803743981,0.3779065470007481,
SupervisedBaseline_GMM,0.1,3,0.7176962835343342,0.705036460976667,0.7489872537616137,0.7179324894514768,0.7080659066256407,0.7517538322727091,0.00023620591714257344,0.34654002799652517,
SupervisedBaseline_GMM,0.1,4,0.8877676593650012,0.9061569778240861,0.9053283122684805,0.89915611814346,0.9164758909123758,0.9170898578887625,0.011388458778458732,0.3443379750024178,
SupervisedBaseline_GMM,0.2,0,0.6935761752399705,0.6627541204104616,0.7165617513991167,0.6924050632911393,0.6593461657768843,0.7133998939707269,-0.0011711119488312383,0.48923894700419623,
SupervisedBaseline_GMM,0.2,1,0.8065468865370415,0.747775347711747,0.7890667913862706,0.7947257383966245,0.7411936420130142,0.7833894579137887,-0.011821148140417015,0.3051221140049165,
SupervisedBaseline_GMM,0.2,2,0.8656165395028305,0.8818836080940817,0.8872248732796815,0.8672995780590718,0.8832880007296541,0.8870105636714867,0.0016830385562413008,0.38725174899445847,
SupervisedBaseline_GMM,0.2,3,0.8205759291164164,0.80631824471447,0.8222143672058372,0.8225738396624472,0.8120141725899214,0.8255784029865946,0.0019979105460308233,0.3930308819981292,
